TIMESTAMP;LAI
20170101;1.16
20170102;1.17
20170103;1.19
20170104;1.2
20170105;1.22
20170106;1.24
20170107;1.25
20170108;1.27
20170109;1.29
20170110;1.3
20170111;1.32
20170112;1.34
20170113;1.36
20170114;1.38
20170115;1.4
20170116;1.42
20170117;1.44
20170118;1.46
20170119;1.49
20170120;1.5
20170121;1.52
20170122;1.54
20170123;1.56
20170124;1.58
20170125;1.6
20170126;1.63
20170127;1.65
20170128;1.69
20170129;1.71
20170130;1.74
20170131;1.77
20170201;1.81
20170202;1.84
20170203;1.87
20170204;1.9
20170205;1.94
20170206;1.97
20170207;2.0
20170208;2.03
20170209;2.06
20170210;2.1
20170211;2.12
20170212;2.15
20170213;2.18
20170214;2.2
20170215;2.22
20170216;2.24
20170217;2.26
20170218;2.27
20170219;2.28
20170220;2.29
20170221;2.3
20170222;2.3
20170223;2.3
20170224;2.3
20170225;2.29
20170226;2.28
20170227;2.27
20170228;2.25
20170301;2.23
20170302;2.21
20170303;2.19
20170304;2.16
20170305;2.14
20170306;2.11
20170307;2.07
20170308;2.03
20170309;1.99
20170310;1.95
20170311;1.9
20170312;1.85
20170313;1.79
20170314;1.74
20170315;1.68
20170316;1.62
20170317;1.56
20170318;1.5
20170319;1.44
20170320;1.38
20170321;1.31
20170322;1.25
20170323;1.19
20170324;1.13
20170325;1.07
20170326;1.01
20170327;0.96
20170328;0.91
20170329;0.86
20170330;0.81
20170331;0.77
20170401;0.74
20170402;0.72
20170403;0.7
20170404;0.69
20170405;0.68
20170406;0.68
20170407;0.68
20170408;0.69
20170409;0.71
20170410;0.72
20170411;0.74
20170412;0.76
20170413;0.78
20170414;0.81
20170415;0.84
20170416;0.87
20170417;0.9
20170418;0.93
20170419;0.96
20170420;0.99
20170421;1.02
20170422;1.05
20170423;1.07
20170424;1.1
20170425;1.13
20170426;1.16
20170427;1.19
20170428;1.22
20170429;1.25
20170430;1.29
20170501;1.33
20170502;1.36
20170503;1.41
20170504;1.45
20170505;1.49
20170506;1.53
20170507;1.58
20170508;1.63
20170509;1.67
20170510;1.72
20170511;1.76
20170512;1.8
20170513;1.84
20170514;1.89
20170515;1.93
20170516;1.97
20170517;2.02
20170518;2.06
20170519;2.1
20170520;2.15
20170521;2.19
20170522;2.24
20170523;2.29
20170524;2.34
20170525;2.39
20170526;2.44
20170527;2.49
20170528;2.53
20170529;2.58
20170530;2.63
20170531;2.67
20170601;2.72
20170602;2.77
20170603;2.81
20170604;2.86
20170605;2.91
20170606;2.95
20170607;3.0
20170608;3.04
20170609;3.08
20170610;3.13
20170611;3.17
20170612;3.21
20170613;3.25
20170614;3.28
20170615;3.32
20170616;3.35
20170617;3.38
20170618;3.41
20170619;3.43
20170620;3.45
20170621;3.48
20170622;3.49
20170623;3.51
20170624;3.52
20170625;3.53
20170626;3.53
20170627;3.53
20170628;3.53
20170629;3.54
20170630;3.54
20170701;3.54
20170702;3.54
20170703;3.53
20170704;3.52
20170705;3.52
20170706;3.51
20170707;3.5
20170708;3.49
20170709;3.48
20170710;3.46
20170711;3.45
20170712;3.43
20170713;3.41
20170714;3.4
20170715;3.38
20170716;3.36
20170717;3.35
20170718;3.34
20170719;3.32
20170720;3.32
20170721;3.31
20170722;3.3
20170723;3.3
20170724;3.29
20170725;3.29
20170726;3.29
20170727;3.28
20170728;3.28
20170729;3.28
20170730;3.28
20170731;3.28
20170801;3.27
20170802;3.27
20170803;3.27
20170804;3.26
20170805;3.26
20170806;3.25
20170807;3.24
20170808;3.23
20170809;3.22
20170810;3.2
20170811;3.19
20170812;3.18
20170813;3.16
20170814;3.15
20170815;3.13
20170816;3.12
20170817;3.1
20170818;3.09
20170819;3.07
20170820;3.04
20170821;3.02
20170822;3.0
20170823;2.97
20170824;2.95
20170825;2.92
20170826;2.9
20170827;2.88
20170828;2.86
20170829;2.85
20170830;2.83
20170831;2.81
20170901;2.8
20170902;2.79
20170903;2.77
20170904;2.76
20170905;2.74
20170906;2.73
20170907;2.71
20170908;2.69
20170909;2.68
20170910;2.66
20170911;2.64
20170912;2.62
20170913;2.6
20170914;2.58
20170915;2.56
20170916;2.54
20170917;2.51
20170918;2.49
20170919;2.46
20170920;2.44
20170921;2.42
20170922;2.41
20170923;2.39
20170924;2.37
20170925;2.36
20170926;2.34
20170927;2.33
20170928;2.32
20170929;2.31
20170930;2.3
20171001;2.29
20171002;2.28
20171003;2.27
20171004;2.27
20171005;2.26
20171006;2.25
20171007;2.24
20171008;2.23
20171009;2.22
20171010;2.2
20171011;2.19
20171012;2.17
20171013;2.15
20171014;2.13
20171015;2.1
20171016;2.08
20171017;2.05
20171018;2.02
20171019;2.0
20171020;1.96
20171021;1.93
20171022;1.9
20171023;1.87
20171024;1.84
20171025;1.81
20171026;1.79
20171027;1.77
20171028;1.75
20171029;1.73
20171030;1.72
20171031;1.72
20171101;1.71
20171102;1.7
20171103;1.7
20171104;1.7
20171105;1.7
20171106;1.7
20171107;1.69
20171108;1.69
20171109;1.69
20171110;1.68
20171111;1.67
20171112;1.66
20171113;1.65
20171114;1.64
20171115;1.62
20171116;1.6
20171117;1.58
20171118;1.56
20171119;1.54
20171120;1.51
20171121;1.48
20171122;1.45
20171123;1.42
20171124;1.39
20171125;1.36
20171126;1.32
20171127;1.28
20171128;1.24
20171129;1.2
20171130;1.16
20171201;1.11
20171202;1.06
20171203;1.01
20171204;0.97
20171205;0.92
20171206;0.87
20171207;0.82
20171208;0.78
20171209;0.74
20171210;0.7
20171211;0.66
20171212;0.63
20171213;0.6
20171214;0.58
20171215;0.56
20171216;0.54
20171217;0.52
20171218;0.51
20171219;0.5
20171220;0.49
20171221;0.47
20171222;0.47
20171223;0.47
20171224;0.47
20171225;0.47
20171226;0.47
20171227;0.48
20171228;0.5
20171229;0.52
20171230;0.54
20171231;0.57
20180101;0.6
20180102;0.63
20180103;0.66
20180104;0.7
20180105;0.74
20180106;0.79
20180107;0.83
20180108;0.89
20180109;0.93
20180110;0.98
20180111;1.03
20180112;1.07
20180113;1.11
20180114;1.15
20180115;1.19
20180116;1.22
20180117;1.25
20180118;1.27
20180119;1.29
20180120;1.31
20180121;1.33
20180122;1.35
20180123;1.36
20180124;1.38
20180125;1.39
20180126;1.41
20180127;1.42
20180128;1.44
20180129;1.45
20180130;1.46
20180131;1.47
20180201;1.49
20180202;1.5
20180203;1.51
20180204;1.52
20180205;1.53
20180206;1.54
20180207;1.55
20180208;1.55
20180209;1.56
20180210;1.56
20180211;1.57
20180212;1.57
20180213;1.57
20180214;1.58
20180215;1.58
20180216;1.58
20180217;1.58
20180218;1.58
20180219;1.58
20180220;1.57
20180221;1.57
20180222;1.57
20180223;1.56
20180224;1.56
20180225;1.55
20180226;1.54
20180227;1.54
20180228;1.53
20180301;1.52
20180302;1.51
20180303;1.51
20180304;1.5
20180305;1.49
20180306;1.48
20180307;1.48
20180308;1.47
20180309;1.46
20180310;1.45
20180311;1.45
20180312;1.45
20180313;1.45
20180314;1.45
20180315;1.45
20180316;1.46
20180317;1.46
20180318;1.46
20180319;1.46
20180320;1.46
20180321;1.46
20180322;1.47
20180323;1.48
20180324;1.48
20180325;1.49
20180326;1.5
20180327;1.51
20180328;1.52
20180329;1.53
20180330;1.54
20180331;1.56
20180401;1.57
20180402;1.58
20180403;1.59
20180404;1.59
20180405;1.59
20180406;1.58
20180407;1.57
20180408;1.54
20180409;1.52
20180410;1.49
20180411;1.45
20180412;1.4
20180413;1.36
20180414;1.3
20180415;1.24
20180416;1.18
20180417;1.12
20180418;1.06
20180419;1.01
20180420;0.97
20180421;0.93
20180422;0.9
20180423;0.88
20180424;0.88
20180425;0.88
20180426;0.9
20180427;0.92
20180428;0.95
20180429;0.99
20180430;1.05
20180501;1.1
20180502;1.15
20180503;1.22
20180504;1.29
20180505;1.36
20180506;1.44
20180507;1.51
20180508;1.58
20180509;1.65
20180510;1.72
20180511;1.8
20180512;1.86
20180513;1.91
20180514;1.97
20180515;2.02
20180516;2.07
20180517;2.12
20180518;2.16
20180519;2.21
20180520;2.25
20180521;2.29
20180522;2.33
20180523;2.36
20180524;2.4
20180525;2.43
20180526;2.47
20180527;2.5
20180528;2.54
20180529;2.57
20180530;2.62
20180531;2.66
20180601;2.7
20180602;2.74
20180603;2.79
20180604;2.84
20180605;2.89
20180606;2.94
20180607;2.99
20180608;3.04
20180609;3.09
20180610;3.13
20180611;3.17
20180612;3.22
20180613;3.25
20180614;3.29
20180615;3.32
20180616;3.35
20180617;3.37
20180618;3.39
20180619;3.42
20180620;3.43
20180621;3.45
20180622;3.46
20180623;3.48
20180624;3.49
20180625;3.49
20180626;3.5
20180627;3.51
20180628;3.51
20180629;3.51
20180630;3.51
20180701;3.51
20180702;3.51
20180703;3.5
20180704;3.5
20180705;3.49
20180706;3.48
20180707;3.47
20180708;3.47
20180709;3.46
20180710;3.45
20180711;3.44
20180712;3.43
20180713;3.42
20180714;3.41
20180715;3.4
20180716;3.39
20180717;3.38
20180718;3.37
20180719;3.36
20180720;3.35
20180721;3.34
20180722;3.33
20180723;3.32
20180724;3.31
20180725;3.3
20180726;3.28
20180727;3.27
20180728;3.25
20180729;3.23
20180730;3.21
20180731;3.19
20180801;3.17
20180802;3.15
20180803;3.13
20180804;3.11
20180805;3.09
20180806;3.08
20180807;3.06
20180808;3.04
20180809;3.02
20180810;3.0
20180811;2.98
20180812;2.97
20180813;2.96
20180814;2.94
20180815;2.93
20180816;2.92
20180817;2.9
20180818;2.88
20180819;2.87
20180820;2.85
20180821;2.83
20180822;2.81
20180823;2.79
20180824;2.78
20180825;2.76
20180826;2.74
20180827;2.73
20180828;2.71
20180829;2.69
20180830;2.67
20180831;2.65
20180901;2.63
20180902;2.62
20180903;2.6
20180904;2.58
20180905;2.56
20180906;2.54
20180907;2.51
20180908;2.49
20180909;2.47
20180910;2.45
20180911;2.43
20180912;2.41
20180913;2.38
20180914;2.35
20180915;2.32
20180916;2.29
20180917;2.26
20180918;2.23
20180919;2.2
20180920;2.18
20180921;2.16
20180922;2.15
20180923;2.15
20180924;2.15
20180925;2.15
20180926;2.16
20180927;2.18
20180928;2.21
20180929;2.23
20180930;2.26
20181001;2.3
20181002;2.34
20181003;2.39
20181004;2.43
20181005;2.47
20181006;2.5
20181007;2.53
20181008;2.55
20181009;2.56
20181010;2.57
20181011;2.56
20181012;2.54
20181013;2.51
20181014;2.46
20181015;2.4
20181016;2.34
20181017;2.27
20181018;2.2
20181019;2.12
20181020;2.04
20181021;1.96
20181022;1.88
20181023;1.81
20181024;1.74
20181025;1.67
20181026;1.61
20181027;1.56
20181028;1.51
20181029;1.47
20181030;1.43
20181031;1.4
20181101;1.38
20181102;1.36
20181103;1.34
20181104;1.32
20181105;1.29
20181106;1.27
20181107;1.24
20181108;1.21
20181109;1.19
20181110;1.15
20181111;1.11
20181112;1.07
20181113;1.03
20181114;0.99
20181115;0.95
20181116;0.91
20181117;0.87
20181118;0.83
20181119;0.8
20181120;0.76
20181121;0.73
20181122;0.7
20181123;0.68
20181124;0.65
20181125;0.63
20181126;0.61
20181127;0.6
20181128;0.59
20181129;0.58
20181130;0.57
20181201;0.56
20181202;0.55
