TIMESTAMP;LAI
20170101;0.83
20170102;0.83
20170103;0.84
20170104;0.85
20170105;0.86
20170106;0.86
20170107;0.87
20170108;0.88
20170109;0.89
20170110;0.89
20170111;0.9
20170112;0.91
20170113;0.91
20170114;0.92
20170115;0.92
20170116;0.92
20170117;0.93
20170118;0.93
20170119;0.93
20170120;0.94
20170121;0.95
20170122;0.95
20170123;0.96
20170124;0.96
20170125;0.97
20170126;0.98
20170127;0.98
20170128;0.99
20170129;1.0
20170130;1.01
20170131;1.02
20170201;1.02
20170202;1.03
20170203;1.04
20170204;1.04
20170205;1.05
20170206;1.06
20170207;1.07
20170208;1.07
20170209;1.07
20170210;1.08
20170211;1.08
20170212;1.09
20170213;1.09
20170214;1.09
20170215;1.09
20170216;1.09
20170217;1.09
20170218;1.08
20170219;1.08
20170220;1.07
20170221;1.06
20170222;1.06
20170223;1.04
20170224;1.03
20170225;1.02
20170226;1.01
20170227;0.99
20170228;0.97
20170301;0.95
20170302;0.94
20170303;0.92
20170304;0.9
20170305;0.88
20170306;0.86
20170307;0.84
20170308;0.82
20170309;0.8
20170310;0.78
20170311;0.75
20170312;0.73
20170313;0.71
20170314;0.69
20170315;0.67
20170316;0.65
20170317;0.63
20170318;0.62
20170319;0.61
20170320;0.6
20170321;0.59
20170322;0.59
20170323;0.58
20170324;0.58
20170325;0.58
20170326;0.58
20170327;0.59
20170328;0.6
20170329;0.62
20170330;0.64
20170331;0.67
20170401;0.71
20170402;0.75
20170403;0.79
20170404;0.84
20170405;0.89
20170406;0.93
20170407;0.98
20170408;1.03
20170409;1.08
20170410;1.14
20170411;1.19
20170412;1.24
20170413;1.29
20170414;1.33
20170415;1.37
20170416;1.41
20170417;1.45
20170418;1.48
20170419;1.51
20170420;1.54
20170421;1.56
20170422;1.59
20170423;1.6
20170424;1.62
20170425;1.63
20170426;1.65
20170427;1.67
20170428;1.68
20170429;1.7
20170430;1.72
20170501;1.74
20170502;1.76
20170503;1.78
20170504;1.8
20170505;1.81
20170506;1.83
20170507;1.84
20170508;1.86
20170509;1.88
20170510;1.9
20170511;1.91
20170512;1.93
20170513;1.94
20170514;1.95
20170515;1.96
20170516;1.98
20170517;2.0
20170518;2.02
20170519;2.04
20170520;2.07
20170521;2.1
20170522;2.14
20170523;2.17
20170524;2.2
20170525;2.24
20170526;2.27
20170527;2.31
20170528;2.35
20170529;2.4
20170530;2.44
20170531;2.49
20170601;2.53
20170602;2.57
20170603;2.62
20170604;2.66
20170605;2.71
20170606;2.75
20170607;2.8
20170608;2.85
20170609;2.9
20170610;2.94
20170611;2.99
20170612;3.04
20170613;3.09
20170614;3.13
20170615;3.18
20170616;3.22
20170617;3.27
20170618;3.3
20170619;3.34
20170620;3.37
20170621;3.39
20170622;3.41
20170623;3.42
20170624;3.43
20170625;3.43
20170626;3.43
20170627;3.42
20170628;3.42
20170629;3.41
20170630;3.39
20170701;3.38
20170702;3.37
20170703;3.35
20170704;3.34
20170705;3.33
20170706;3.32
20170707;3.32
20170708;3.31
20170709;3.31
20170710;3.31
20170711;3.31
20170712;3.32
20170713;3.32
20170714;3.33
20170715;3.33
20170716;3.33
20170717;3.33
20170718;3.33
20170719;3.33
20170720;3.33
20170721;3.32
20170722;3.32
20170723;3.31
20170724;3.3
20170725;3.29
20170726;3.28
20170727;3.27
20170728;3.26
20170729;3.25
20170730;3.24
20170731;3.23
20170801;3.21
20170802;3.2
20170803;3.18
20170804;3.16
20170805;3.14
20170806;3.12
20170807;3.1
20170808;3.08
20170809;3.06
20170810;3.03
20170811;3.01
20170812;2.97
20170813;2.94
20170814;2.91
20170815;2.87
20170816;2.84
20170817;2.8
20170818;2.77
20170819;2.74
20170820;2.71
20170821;2.68
20170822;2.65
20170823;2.61
20170824;2.58
20170825;2.54
20170826;2.49
20170827;2.44
20170828;2.39
20170829;2.34
20170830;2.28
20170831;2.22
20170901;2.16
20170902;2.1
20170903;2.04
20170904;1.98
20170905;1.92
20170906;1.86
20170907;1.81
20170908;1.76
20170909;1.72
20170910;1.68
20170911;1.65
20170912;1.63
20170913;1.61
20170914;1.61
20170915;1.61
20170916;1.61
20170917;1.63
20170918;1.65
20170919;1.68
20170920;1.71
20170921;1.74
20170922;1.77
20170923;1.8
20170924;1.83
20170925;1.87
20170926;1.89
20170927;1.92
20170928;1.94
20170929;1.97
20170930;1.99
20171001;2.0
20171002;2.02
20171003;2.02
20171004;2.03
20171005;2.03
20171006;2.03
20171007;2.03
20171008;2.02
20171009;2.01
20171010;2.0
20171011;1.98
20171012;1.96
20171013;1.94
20171014;1.91
20171015;1.88
20171016;1.85
20171017;1.83
20171018;1.81
20171019;1.79
20171020;1.77
20171021;1.75
20171022;1.74
20171023;1.72
20171024;1.72
20171025;1.71
20171026;1.7
20171027;1.7
20171028;1.69
20171029;1.69
20171030;1.69
20171031;1.69
20171101;1.69
20171102;1.68
20171103;1.68
20171104;1.67
20171105;1.66
20171106;1.65
20171107;1.64
20171108;1.62
20171109;1.61
20171110;1.58
20171111;1.56
20171112;1.53
20171113;1.5
20171114;1.47
20171115;1.45
20171116;1.42
20171117;1.4
20171118;1.37
20171119;1.34
20171120;1.31
20171121;1.28
20171122;1.25
20171123;1.22
20171124;1.19
20171125;1.16
20171126;1.12
20171127;1.09
20171128;1.06
20171129;1.02
20171130;0.98
20171201;0.94
20171202;0.91
20171203;0.87
20171204;0.82
20171205;0.79
20171206;0.75
20171207;0.71
20171208;0.68
20171209;0.64
20171210;0.61
20171211;0.59
20171212;0.57
20171213;0.55
20171214;0.53
20171215;0.51
20171216;0.5
20171217;0.49
20171218;0.48
20171219;0.48
20171220;0.47
20171221;0.47
20171222;0.47
20171223;0.47
20171224;0.46
20171225;0.47
20171226;0.47
20171227;0.48
20171228;0.49
20171229;0.51
20171230;0.52
20171231;0.54
20180101;0.56
20180102;0.59
20180103;0.61
20180104;0.64
20180105;0.67
20180106;0.71
20180107;0.74
20180108;0.78
20180109;0.82
20180110;0.86
20180111;0.89
20180112;0.93
20180113;0.96
20180114;0.99
20180115;1.01
20180116;1.04
20180117;1.06
20180118;1.08
20180119;1.09
20180120;1.11
20180121;1.12
20180122;1.13
20180123;1.14
20180124;1.15
20180125;1.16
20180126;1.18
20180127;1.18
20180128;1.19
20180129;1.2
20180130;1.2
20180131;1.21
20180201;1.22
20180202;1.22
20180203;1.23
20180204;1.23
20180205;1.23
20180206;1.24
20180207;1.24
20180208;1.23
20180209;1.23
20180210;1.23
20180211;1.23
20180212;1.22
20180213;1.22
20180214;1.21
20180215;1.21
20180216;1.2
20180217;1.2
20180218;1.19
20180219;1.19
20180220;1.18
20180221;1.18
20180222;1.18
20180223;1.17
20180224;1.17
20180225;1.17
20180226;1.17
20180227;1.17
20180228;1.17
20180301;1.17
20180302;1.17
20180303;1.17
20180304;1.17
20180305;1.17
20180306;1.17
20180307;1.17
20180308;1.17
20180309;1.16
20180310;1.16
20180311;1.16
20180312;1.16
20180313;1.16
20180314;1.16
20180315;1.16
20180316;1.16
20180317;1.15
20180318;1.15
20180319;1.14
20180320;1.14
20180321;1.13
20180322;1.13
20180323;1.12
20180324;1.11
20180325;1.1
20180326;1.08
20180327;1.07
20180328;1.06
20180329;1.04
20180330;1.02
20180331;1.0
20180401;0.99
20180402;0.97
20180403;0.95
20180404;0.94
20180405;0.92
20180406;0.91
20180407;0.91
20180408;0.9
20180409;0.9
20180410;0.89
20180411;0.9
20180412;0.9
20180413;0.91
20180414;0.92
20180415;0.93
20180416;0.94
20180417;0.96
20180418;0.99
20180419;1.01
20180420;1.04
20180421;1.08
20180422;1.12
20180423;1.16
20180424;1.2
20180425;1.25
20180426;1.3
20180427;1.35
20180428;1.41
20180429;1.46
20180430;1.52
20180501;1.58
20180502;1.64
20180503;1.7
20180504;1.76
20180505;1.83
20180506;1.89
20180507;1.96
20180508;2.02
20180509;2.08
20180510;2.13
20180511;2.18
20180512;2.23
20180513;2.27
20180514;2.31
20180515;2.34
20180516;2.37
20180517;2.38
20180518;2.4
20180519;2.42
20180520;2.44
20180521;2.46
20180522;2.47
20180523;2.49
20180524;2.51
20180525;2.52
20180526;2.54
20180527;2.55
20180528;2.57
20180529;2.6
20180530;2.62
20180531;2.64
20180601;2.67
20180602;2.7
20180603;2.74
20180604;2.77
20180605;2.81
20180606;2.85
20180607;2.88
20180608;2.92
20180609;2.95
20180610;2.98
20180611;3.01
20180612;3.03
20180613;3.05
20180614;3.08
20180615;3.1
20180616;3.12
20180617;3.13
20180618;3.16
20180619;3.18
20180620;3.19
