TIMESTAMP;LAI
20170101;0.98
20170102;0.97
20170103;0.96
20170104;0.95
20170105;0.95
20170106;0.94
20170107;0.93
20170108;0.93
20170109;0.93
20170110;0.92
20170111;0.92
20170112;0.92
20170113;0.92
20170114;0.92
20170115;0.92
20170116;0.91
20170117;0.91
20170118;0.91
20170119;0.9
20170120;0.89
20170121;0.89
20170122;0.88
20170123;0.87
20170124;0.86
20170125;0.85
20170126;0.84
20170127;0.83
20170128;0.82
20170129;0.81
20170130;0.79
20170131;0.78
20170201;0.77
20170202;0.76
20170203;0.75
20170204;0.74
20170205;0.73
20170206;0.73
20170207;0.72
20170208;0.71
20170209;0.72
20170210;0.72
20170211;0.72
20170212;0.71
20170213;0.71
20170214;0.71
20170215;0.71
20170216;0.7
20170217;0.69
20170218;0.68
20170219;0.67
20170220;0.66
20170221;0.65
20170222;0.64
20170223;0.62
20170224;0.61
20170225;0.59
20170226;0.58
20170227;0.56
20170228;0.55
20170301;0.53
20170302;0.52
20170303;0.5
20170304;0.49
20170305;0.48
20170306;0.47
20170307;0.46
20170308;0.45
20170309;0.45
20170310;0.45
20170311;0.45
20170312;0.44
20170313;0.44
20170314;0.44
20170315;0.44
20170316;0.43
20170317;0.43
20170318;0.43
20170319;0.44
20170320;0.45
20170321;0.46
20170322;0.48
20170323;0.51
20170324;0.53
20170325;0.55
20170326;0.58
20170327;0.61
20170328;0.64
20170329;0.68
20170330;0.72
20170331;0.76
20170401;0.81
20170402;0.86
20170403;0.91
20170404;0.97
20170405;1.02
20170406;1.08
20170407;1.14
20170408;1.2
20170409;1.26
20170410;1.33
20170411;1.39
20170412;1.45
20170413;1.51
20170414;1.56
20170415;1.61
20170416;1.66
20170417;1.71
20170418;1.76
20170419;1.8
20170420;1.84
20170421;1.88
20170422;1.91
20170423;1.93
20170424;1.96
20170425;1.98
20170426;2.0
20170427;2.01
20170428;2.03
20170429;2.04
20170430;2.05
20170501;2.06
20170502;2.07
20170503;2.08
20170504;2.08
20170505;2.09
20170506;2.1
20170507;2.11
20170508;2.11
20170509;2.12
20170510;2.13
20170511;2.14
20170512;2.14
20170513;2.15
20170514;2.15
20170515;2.16
20170516;2.17
20170517;2.18
20170518;2.2
20170519;2.21
20170520;2.22
20170521;2.23
20170522;2.25
20170523;2.27
20170524;2.28
20170525;2.3
20170526;2.32
20170527;2.34
20170528;2.35
20170529;2.36
20170530;2.37
20170531;2.38
20170601;2.39
20170602;2.4
20170603;2.41
20170604;2.41
20170605;2.41
20170606;2.41
20170607;2.41
20170608;2.4
20170609;2.4
20170610;2.39
20170611;2.39
20170612;2.38
20170613;2.38
20170614;2.37
20170615;2.37
20170616;2.37
20170617;2.37
20170618;2.37
20170619;2.37
20170620;2.38
20170621;2.39
20170622;2.4
20170623;2.41
20170624;2.42
20170625;2.44
20170626;2.45
20170627;2.47
20170628;2.49
20170629;2.51
20170630;2.54
20170701;2.57
20170702;2.6
20170703;2.64
20170704;2.68
20170705;2.72
20170706;2.76
20170707;2.81
20170708;2.85
20170709;2.9
20170710;2.94
20170711;2.98
20170712;3.02
20170713;3.05
20170714;3.09
20170715;3.12
20170716;3.14
20170717;3.16
20170718;3.18
20170719;3.19
20170720;3.2
20170721;3.21
20170722;3.21
20170723;3.21
20170724;3.2
20170725;3.18
20170726;3.17
20170727;3.15
20170728;3.14
20170729;3.12
20170730;3.1
20170731;3.08
20170801;3.06
20170802;3.03
20170803;3.01
20170804;2.98
20170805;2.95
20170806;2.92
20170807;2.89
20170808;2.86
20170809;2.83
20170810;2.8
20170811;2.76
20170812;2.73
20170813;2.7
20170814;2.66
20170815;2.63
20170816;2.6
20170817;2.57
20170818;2.55
20170819;2.52
20170820;2.49
20170821;2.47
20170822;2.45
20170823;2.43
20170824;2.41
20170825;2.38
20170826;2.37
20170827;2.34
20170828;2.32
20170829;2.3
20170830;2.28
20170831;2.25
20170901;2.23
20170902;2.2
20170903;2.17
20170904;2.15
20170905;2.12
20170906;2.08
20170907;2.05
20170908;2.02
20170909;1.98
20170910;1.94
20170911;1.91
20170912;1.87
20170913;1.83
20170914;1.79
20170915;1.76
20170916;1.72
20170917;1.69
20170918;1.66
20170919;1.63
20170920;1.6
20170921;1.57
20170922;1.54
20170923;1.52
20170924;1.5
20170925;1.48
20170926;1.45
20170927;1.43
20170928;1.41
20170929;1.4
20170930;1.39
20171001;1.37
20171002;1.36
20171003;1.34
20171004;1.33
20171005;1.31
20171006;1.29
20171007;1.28
20171008;1.26
20171009;1.24
20171010;1.22
20171011;1.2
20171012;1.17
20171013;1.15
20171014;1.13
20171015;1.11
20171016;1.09
20171017;1.07
20171018;1.04
20171019;1.02
20171020;1.0
20171021;0.98
20171022;0.96
20171023;0.94
20171024;0.92
20171025;0.91
20171026;0.89
20171027;0.88
20171028;0.87
20171029;0.86
20171030;0.85
20171031;0.83
20171101;0.82
20171102;0.81
20171103;0.8
20171104;0.79
20171105;0.78
20171106;0.78
20171107;0.77
20171108;0.76
20171109;0.75
20171110;0.75
20171111;0.74
20171112;0.74
20171113;0.74
20171114;0.74
20171115;0.75
20171116;0.75
20171117;0.75
20171118;0.76
20171119;0.76
20171120;0.77
20171121;0.77
20171122;0.77
20171123;0.78
20171124;0.78
20171125;0.78
20171126;0.78
20171127;0.78
20171128;0.77
20171129;0.77
20171130;0.76
20171201;0.76
20171202;0.75
20171203;0.75
20171204;0.74
20171205;0.73
20171206;0.72
20171207;0.71
20171208;0.7
20171209;0.68
20171210;0.67
20171211;0.66
20171212;0.64
20171213;0.63
20171214;0.62
20171215;0.61
20171216;0.59
20171217;0.58
20171218;0.57
20171219;0.56
20171220;0.55
20171221;0.53
20171222;0.52
20171223;0.51
20171224;0.5
20171225;0.49
20171226;0.48
20171227;0.48
20171228;0.47
20171229;0.47
20171230;0.47
20171231;0.48
20180101;0.49
20180102;0.49
20180103;0.5
20180104;0.51
20180105;0.52
20180106;0.53
20180107;0.54
20180108;0.55
20180109;0.57
20180110;0.58
20180111;0.59
20180112;0.6
20180113;0.61
20180114;0.62
20180115;0.63
20180116;0.64
20180117;0.65
20180118;0.65
20180119;0.66
20180120;0.67
20180121;0.67
20180122;0.67
20180123;0.67
20180124;0.66
20180125;0.66
20180126;0.66
20180127;0.66
20180128;0.66
20180129;0.66
20180130;0.66
20180131;0.65
20180201;0.64
20180202;0.64
20180203;0.64
20180204;0.63
20180205;0.63
20180206;0.63
20180207;0.62
20180208;0.62
20180209;0.61
20180210;0.61
20180211;0.6
20180212;0.6
20180213;0.6
20180214;0.59
20180215;0.59
20180216;0.58
20180217;0.58
20180218;0.58
20180219;0.57
20180220;0.57
20180221;0.56
20180222;0.56
20180223;0.56
20180224;0.56
20180225;0.56
20180226;0.56
20180227;0.56
20180228;0.56
20180301;0.56
20180302;0.56
20180303;0.57
20180304;0.57
20180305;0.57
20180306;0.57
20180307;0.58
20180308;0.58
20180309;0.58
20180310;0.58
20180311;0.59
20180312;0.59
20180313;0.59
20180314;0.59
20180315;0.59
20180316;0.59
