TIMESTAMP;LAI
20170101;1.23
20170102;1.22
20170103;1.21
20170104;1.21
20170105;1.21
20170106;1.2
20170107;1.2
20170108;1.2
20170109;1.19
20170110;1.18
20170111;1.18
20170112;1.17
20170113;1.16
20170114;1.15
20170115;1.14
20170116;1.13
20170117;1.12
20170118;1.11
20170119;1.1
20170120;1.09
20170121;1.08
20170122;1.07
20170123;1.06
20170124;1.05
20170125;1.03
20170126;1.02
20170127;1.01
20170128;1.0
20170129;1.0
20170130;0.99
20170131;0.99
20170201;0.99
20170202;0.99
20170203;1.0
20170204;1.01
20170205;1.01
20170206;1.02
20170207;1.02
20170208;1.03
20170209;1.03
20170210;1.04
20170211;1.04
20170212;1.06
20170213;1.08
20170214;1.09
20170215;1.09
20170216;1.09
20170217;1.08
20170218;1.07
20170219;1.05
20170220;1.03
20170221;1.01
20170222;0.98
20170223;0.95
20170224;0.92
20170225;0.89
20170226;0.86
20170227;0.83
20170228;0.8
20170301;0.77
20170302;0.75
20170303;0.72
20170304;0.71
20170305;0.69
20170306;0.68
20170307;0.67
20170308;0.66
20170309;0.66
20170310;0.66
20170311;0.67
20170312;0.69
20170313;0.71
20170314;0.73
20170315;0.74
20170316;0.76
20170317;0.77
20170318;0.78
20170319;0.79
20170320;0.81
20170321;0.82
20170322;0.83
20170323;0.85
20170324;0.87
20170325;0.88
20170326;0.9
20170327;0.92
20170328;0.95
20170329;0.97
20170330;0.99
20170331;1.02
20170401;1.04
20170402;1.07
20170403;1.1
20170404;1.13
20170405;1.16
20170406;1.19
20170407;1.23
20170408;1.26
20170409;1.3
20170410;1.34
20170411;1.38
20170412;1.42
20170413;1.47
20170414;1.51
20170415;1.55
20170416;1.6
20170417;1.64
20170418;1.68
20170419;1.72
20170420;1.77
20170421;1.82
20170422;1.86
20170423;1.91
20170424;1.95
20170425;2.0
20170426;2.04
20170427;2.08
20170428;2.11
20170429;2.15
20170430;2.19
20170501;2.22
20170502;2.26
20170503;2.29
20170504;2.32
20170505;2.35
20170506;2.37
