TIMESTAMP;TA;EA;VPD;PA;WS;WD;USTAR;SW_IN;SW_OUT;LW_IN;LW_OUT;NETRAD;G;H;LE;PPFD_IN;PPFD_OUT;CO2;FC;LE_C_ECC;LE_C_REA;LE_C_FVS
201805190030;15.19;13.600000000000001;3.650093173896739;100.4;1.49;316.2;0.2022;0.0;0.0;327.07;388.97;-61.9;-35.89;-29.85;6.65;-9999;-9999;779.06;0.1917;0.11413156012471333;0.3430388042047001;-9999
201805190130;14.05;13.5;2.525752756184364;100.38;1.14;317.1;0.1663;0.0;0.0;329.14;383.79;-54.65;-38.62;-21.8;4.83;-9999;-9999;788.49;0.1804;0.25615206432251814;0.1544474900058171;3.9779822138503795
201805190230;13.34;13.200000000000001;2.102486078748866;100.4;1.34;334.0;0.1952;0.0;0.0;327.49;380.51;-53.02;-36.65;-23.72;6.4;-9999;-9999;793.58;0.1978;0.23725136870278454;1.033919547176139;-9999
201805190330;13.42;12.8;2.5825174253295486;100.41;1.87;330.4;0.2869;0.0;0.0;321.85;380.91;-59.06;-40.51;-33.07;9.5;-9999;-9999;784.85;0.1809;0.19287670180102784;0.7030507611628616;-9999
201805190430;12.33;12.6;1.7231708937001802;100.41;1.29;341.0;0.1613;0.0;0.0;317.55;375.3;-57.75;-38.04;-19.04;3.02;-9999;-9999;803.46;0.1474;0.35783387137722195;0.7440615004418137;4.411768869441876
201805190530;12.57;12.6;1.950734667987419;100.47;1.7;315.7;0.2887;64.04;15.1;317.66;378.87;-12.27;-32.86;-16.09;16.59;-9999;-9999;797.56;0.0363;7.471168881482846;7.901533129387382;12.299271299271483
201805190630;15.48;12.3;5.274380260230032;100.49;2.3;336.5;0.3905;263.73;52.75;323.18;397.56;136.6;4.75;31.61;77.29;-9999;-9999;764.27;-0.3142;70.0466470178782;69.16474790592748;51.513819792890054
201805190730;17.72;12.3;7.965259391627786;100.51;2.8;330.1;0.5132;456.51;87.94;329.03;415.82;281.78;17.09;79.56;129.01;-9999;-9999;753.3;-0.4977;129.01;129.01;121.12617048453257
201805190830;19.73;12.5;10.481320612540571;100.52;2.75;322.9;0.5051;679.12;122.53;335.21;434.27;457.53;38.21;145.05;172.22;-9999;-9999;746.56;-0.6603;172.22;172.22;138.29813259499278
201805190930;21.52;12.6;13.06384318533704;100.49;2.47;337.4;0.4453;848.73;147.77;342.05;450.96;592.05;67.94;187.89;241.81;-9999;-9999;737.18;-0.7965;238.81969888361112;237.41018382708967;179.85434714811623
201805191030;23.09;13.0;15.238750861250399;100.46;2.18;333.7;0.4219;965.01;166.72;349.81;465.06;683.04;81.88;205.75;299.12;-9999;-9999;730.92;-0.8593;299.12;299.12;232.56800304954754
201805191130;24.72;12.7;18.44883691199009;100.41;2.35;324.8;0.4307;1019.11;176.2;355.02;476.23;721.7;85.58;200.18;337.48;-9999;-9999;728.16;-0.8909;337.48;337.48;240.17708413972437
201805191230;26.34;12.7;21.597855806704256;100.33;2.76;316.4;0.5074;1021.95;178.71;361.92;484.85;720.31;86.34;164.43;335.75;-9999;-9999;720.66;-0.7243;335.75;335.75;246.42702630959903
201805191330;27.26;12.8;23.407346108170326;100.27;2.86;325.0;0.5457;957.61;169.06;363.16;487.71;664.0;79.38;164.48;371.81;-9999;-9999;716.82;-0.7251;371.81;371.81;268.6808008736596
201805191430;27.65;12.7;24.344442245731;100.2;3.28;342.9;0.5352;837.25;150.44;365.0;485.18;566.63;56.45;110.45;302.58;-9999;-9999;715.82;-0.5713;302.58;302.58;217.0008555784353
201805191530;27.69;12.7;24.431247022233205;100.14;3.21;341.3;0.5253;663.05;123.16;365.33;478.21;427.01;37.88;58.71;245.87;-9999;-9999;716.0;-0.4411;245.87;245.87;135.01627644487434
201805191630;27.53;13.4;23.38509112520638;100.13;3.11;340.4;0.5228;441.61;87.3;366.79;468.73;252.37;37.17;10.63;196.77;-9999;-9999;716.59;-0.3022;196.77;196.77;-9999
201805191730;26.31;14.0;20.2371018679371;100.14;3.57;314.0;0.6047;240.46;50.63;362.34;455.06;97.11;10.6;-33.68;125.63;-9999;-9999;720.21;-0.0866;95.26860219939817;98.39533153119933;-9999
201805191830;23.12;12.9;15.390079538892968;100.19;3.3;308.9;0.5868;55.59;14.33;345.51;433.22;-46.45;-38.48;-61.0;64.13;-9999;-9999;731.62;0.1346;9.618048030870026;12.753606686482815;-9999
201805191930;20.07;12.4;11.071037124990978;100.28;2.72;307.5;0.4783;0.0;0.0;335.14;415.43;-80.29;-49.49;-57.93;29.71;-9999;-9999;745.17;0.2562;0.0;0.0;-9999
201805192030;18.39;12.0;9.137466575384106;100.36;2.7;312.5;0.4803;0.0;0.0;333.88;406.88;-73.0;-47.72;-54.29;26.03;-9999;-9999;755.16;0.2545;4.751045456932892;5.157297476912774;23.815803268815895
201805192130;16.78;11.799999999999999;7.294911217207487;100.42;2.58;327.7;0.4608;0.0;0.0;322.8;398.41;-75.61;-42.47;-50.39;20.85;-9999;-9999;760.72;0.2565;1.7882236484695668;2.769447180504415;16.819676160583004
201805192230;15.11;11.5;5.661566283461944;100.44;2.44;330.4;0.413;0.0;0.0;313.28;389.83;-76.55;-49.96;-48.11;15.6;-9999;-9999;762.6;0.1931;0.0;0.0;-9999
201805192330;13.83;11.299999999999999;4.498490700085048;100.46;2.23;325.8;0.3816;0.0;0.0;307.52;383.17;-75.65;-46.2;-37.2;13.63;-9999;-9999;767.68;0.1659;0.0;0.0;-9999
201805200030;12.66;11.100000000000001;3.536888675682011;100.42;2.08;325.0;0.3592;0.0;0.0;304.73;377.38;-72.65;-49.15;-41.7;12.85;-9999;-9999;774.78;0.1837;1.0879681539863313;2.8005793618022725;-9999
201805200130;12.0;10.9;3.1153927042509295;100.41;2.27;331.1;0.3776;0.0;0.0;306.24;374.37;-68.13;-47.78;-38.39;12.71;-9999;-9999;774.86;0.1753;0.0;0.0;-9999
201805200230;11.74;10.700000000000001;3.0770209229025003;100.43;2.45;332.7;0.4142;0.0;0.0;307.29;373.1;-65.81;-45.02;-36.09;12.88;-9999;-9999;776.31;0.1679;0.3361270557834956;0.43528261013957387;9.796420446676912
201805200330;11.16;10.700000000000001;2.558102538929763;100.48;2.3;335.4;0.3677;0.0;0.0;297.07;369.55;-72.48;-42.19;-37.76;10.47;-9999;-9999;782.23;0.1663;1.4890107311440706;1.7136153372332663;6.627156531086594
201805200430;10.23;10.600000000000001;1.86196295129605;100.51;1.77;328.8;0.2786;0.0;0.0;292.78;364.64;-71.86;-45.46;-30.45;6.26;-9999;-9999;794.24;0.1059;0.6439211025186354;0.9450174856759458;-9999
201805200530;10.2;10.700000000000001;1.736998870403097;100.57;1.66;334.6;0.2702;75.08;18.22;292.64;366.86;-17.36;-40.06;-9.83;12.76;-9999;-9999;796.16;-0.0102;6.5625459425918;7.035182042792546;-9999
